"","Presentation.Setting","Intervention","Description","Reference.s.","Calculations","model_param","base_case","PSA_distribution","PSA_low","PSA_high","references.calculations.for.distributional.information","DSA_flag","DSA_low","DSA_high","mrs","age"
"72","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.142,"",NA,NA,"","",NA,NA,2,NA
"73","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.162,"",NA,NA,"","",NA,NA,3,NA
"74","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.251,"",NA,NA,"","",NA,NA,4,NA
"75","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.109,"",NA,NA,"","",NA,NA,5,NA
"76","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.175,"",NA,NA,"","",NA,NA,6,NA
"77","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0.817,"truncated normal",0.507,0.993,"","",NA,NA,0,NA
"78","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0.752,"truncated normal",0.41,0.985,"","",NA,NA,1,NA
"79","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0.656,"truncated normal",0.28,0.964,"","",NA,NA,2,NA
"80","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0.552,"truncated normal",0.165,0.909,"","",NA,NA,3,NA
"81","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0.262,"truncated normal",-0.132,0.658,"","",NA,NA,4,NA
"82","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",-0.054,"truncated normal",-0.094,-0.015,"","",NA,NA,5,NA
"83","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0,"na",NA,NA,"","",NA,NA,6,NA
"84","all","all","annual cost for respective mrS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",3518,"gamma",5,18072,"","",NA,NA,0,NA
"85","all","all","annual cost for respective mrS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",4075,"gamma",27,17911,"","",NA,NA,1,NA
"86","all","all","annual cost for respective mrS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",4712,"gamma",93,17920,"","",NA,NA,2,NA
"87","all","all","annual cost for respective mrS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",16826,"gamma",3040,41644,"","",NA,NA,3,NA
"88","all","all","annual cost for respective mrS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",22692,"gamma",7320,47411,"","",NA,NA,4,NA
"89","all","all","annual cost for respective mrS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",36926,"gamma",8713,83873,"","",NA,NA,5,NA
"90","all","all","annual cost for respective mrS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",0,"na",NA,NA,"","",NA,NA,6,NA
"91","all","all","male qx (likelihood of dying before next year) at age 0","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.004521,"",NA,NA,"","",NA,NA,NA,0
"92","all","all","male qx (likelihood of dying before next year) at age 1","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000244,"",NA,NA,"","",NA,NA,NA,1
"93","all","all","male qx (likelihood of dying before next year) at age 2","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000165,"",NA,NA,"","",NA,NA,NA,2
"94","all","all","male qx (likelihood of dying before next year) at age 3","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000109,"",NA,NA,"","",NA,NA,NA,3
"95","all","all","male qx (likelihood of dying before next year) at age 4","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000083,"",NA,NA,"","",NA,NA,NA,4
"96","all","all","male qx (likelihood of dying before next year) at age 5","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000086,"",NA,NA,"","",NA,NA,NA,5
"97","all","all","male qx (likelihood of dying before next year) at age 6","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00007,"",NA,NA,"","",NA,NA,NA,6
"98","all","all","male qx (likelihood of dying before next year) at age 7","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000072,"",NA,NA,"","",NA,NA,NA,7
"99","all","all","male qx (likelihood of dying before next year) at age 8","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000076,"",NA,NA,"","",NA,NA,NA,8
"100","all","all","male qx (likelihood of dying before next year) at age 9","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000071,"",NA,NA,"","",NA,NA,NA,9
"101","all","all","male qx (likelihood of dying before next year) at age 10","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000059,"",NA,NA,"","",NA,NA,NA,10
"102","all","all","male qx (likelihood of dying before next year) at age 11","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000095,"",NA,NA,"","",NA,NA,NA,11
"103","all","all","male qx (likelihood of dying before next year) at age 12","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000102,"",NA,NA,"","",NA,NA,NA,12
"104","all","all","male qx (likelihood of dying before next year) at age 13","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000118,"",NA,NA,"","",NA,NA,NA,13
"105","all","all","male qx (likelihood of dying before next year) at age 14","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000132,"",NA,NA,"","",NA,NA,NA,14
"106","all","all","male qx (likelihood of dying before next year) at age 15","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000178,"",NA,NA,"","",NA,NA,NA,15
"107","all","all","male qx (likelihood of dying before next year) at age 16","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00024,"",NA,NA,"","",NA,NA,NA,16
"108","all","all","male qx (likelihood of dying before next year) at age 17","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00031,"",NA,NA,"","",NA,NA,NA,17
"109","all","all","male qx (likelihood of dying before next year) at age 18","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000434,"",NA,NA,"","",NA,NA,NA,18
"110","all","all","male qx (likelihood of dying before next year) at age 19","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000507,"",NA,NA,"","",NA,NA,NA,19
"111","all","all","male qx (likelihood of dying before next year) at age 20","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000479,"",NA,NA,"","",NA,NA,NA,20
"112","all","all","male qx (likelihood of dying before next year) at age 21","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000514,"",NA,NA,"","",NA,NA,NA,21
"113","all","all","male qx (likelihood of dying before next year) at age 22","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00052,"",NA,NA,"","",NA,NA,NA,22
"114","all","all","male qx (likelihood of dying before next year) at age 23","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000582,"",NA,NA,"","",NA,NA,NA,23
"115","all","all","male qx (likelihood of dying before next year) at age 24","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000546,"",NA,NA,"","",NA,NA,NA,24
"116","all","all","male qx (likelihood of dying before next year) at age 25","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000544,"",NA,NA,"","",NA,NA,NA,25
"117","all","all","male qx (likelihood of dying before next year) at age 26","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000664,"",NA,NA,"","",NA,NA,NA,26
"118","all","all","male qx (likelihood of dying before next year) at age 27","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000643,"",NA,NA,"","",NA,NA,NA,27
"119","all","all","male qx (likelihood of dying before next year) at age 28","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000699,"",NA,NA,"","",NA,NA,NA,28
"120","all","all","male qx (likelihood of dying before next year) at age 29","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000782,"",NA,NA,"","",NA,NA,NA,29
"121","all","all","male qx (likelihood of dying before next year) at age 30","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000795,"",NA,NA,"","",NA,NA,NA,30
"122","all","all","male qx (likelihood of dying before next year) at age 31","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000886,"",NA,NA,"","",NA,NA,NA,31
"123","all","all","male qx (likelihood of dying before next year) at age 32","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000928,"",NA,NA,"","",NA,NA,NA,32
"124","all","all","male qx (likelihood of dying before next year) at age 33","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000992,"",NA,NA,"","",NA,NA,NA,33
"125","all","all","male qx (likelihood of dying before next year) at age 34","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00103,"",NA,NA,"","",NA,NA,NA,34
"126","all","all","male qx (likelihood of dying before next year) at age 35","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001129,"",NA,NA,"","",NA,NA,NA,35
"127","all","all","male qx (likelihood of dying before next year) at age 36","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00127,"",NA,NA,"","",NA,NA,NA,36
"128","all","all","male qx (likelihood of dying before next year) at age 37","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001342,"",NA,NA,"","",NA,NA,NA,37
"129","all","all","male qx (likelihood of dying before next year) at age 38","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001446,"",NA,NA,"","",NA,NA,NA,38
"130","all","all","male qx (likelihood of dying before next year) at age 39","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001616,"",NA,NA,"","",NA,NA,NA,39
"131","all","all","male qx (likelihood of dying before next year) at age 40","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001731,"",NA,NA,"","",NA,NA,NA,40
"132","all","all","male qx (likelihood of dying before next year) at age 41","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001871,"",NA,NA,"","",NA,NA,NA,41
"133","all","all","male qx (likelihood of dying before next year) at age 42","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00197,"",NA,NA,"","",NA,NA,NA,42
"134","all","all","male qx (likelihood of dying before next year) at age 43","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.002115,"",NA,NA,"","",NA,NA,NA,43
"135","all","all","male qx (likelihood of dying before next year) at age 44","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.002275,"",NA,NA,"","",NA,NA,NA,44
"136","all","all","male qx (likelihood of dying before next year) at age 45","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.002503,"",NA,NA,"","",NA,NA,NA,45
"137","all","all","male qx (likelihood of dying before next year) at age 46","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00268,"",NA,NA,"","",NA,NA,NA,46
"138","all","all","male qx (likelihood of dying before next year) at age 47","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.002936,"",NA,NA,"","",NA,NA,NA,47
"139","all","all","male qx (likelihood of dying before next year) at age 48","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.003262,"",NA,NA,"","",NA,NA,NA,48
"140","all","all","male qx (likelihood of dying before next year) at age 49","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.003519,"",NA,NA,"","",NA,NA,NA,49
"141","all","all","male qx (likelihood of dying before next year) at age 50","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.003822,"",NA,NA,"","",NA,NA,NA,50
"142","all","all","male qx (likelihood of dying before next year) at age 51","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.004054,"",NA,NA,"","",NA,NA,NA,51
"143","all","all","male qx (likelihood of dying before next year) at age 52","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.004486,"",NA,NA,"","",NA,NA,NA,52
"144","all","all","male qx (likelihood of dying before next year) at age 53","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.004692,"",NA,NA,"","",NA,NA,NA,53
"145","all","all","male qx (likelihood of dying before next year) at age 54","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.005087,"",NA,NA,"","",NA,NA,NA,54
"146","all","all","male qx (likelihood of dying before next year) at age 55","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.005438,"",NA,NA,"","",NA,NA,NA,55
"147","all","all","male qx (likelihood of dying before next year) at age 56","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.005867,"",NA,NA,"","",NA,NA,NA,56
"148","all","all","male qx (likelihood of dying before next year) at age 57","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.006409,"",NA,NA,"","",NA,NA,NA,57
"149","all","all","male qx (likelihood of dying before next year) at age 58","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00686,"",NA,NA,"","",NA,NA,NA,58
"150","all","all","male qx (likelihood of dying before next year) at age 59","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.007387,"",NA,NA,"","",NA,NA,NA,59
"151","all","all","male qx (likelihood of dying before next year) at age 60","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.008134,"",NA,NA,"","",NA,NA,NA,60
"152","all","all","male qx (likelihood of dying before next year) at age 61","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.009036,"",NA,NA,"","",NA,NA,NA,61
"153","all","all","male qx (likelihood of dying before next year) at age 62","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.009714,"",NA,NA,"","",NA,NA,NA,62
"154","all","all","male qx (likelihood of dying before next year) at age 63","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.010535,"",NA,NA,"","",NA,NA,NA,63
"155","all","all","male qx (likelihood of dying before next year) at age 64","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.0116,"",NA,NA,"","",NA,NA,NA,64
"156","all","all","male qx (likelihood of dying before next year) at age 65","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.012545,"",NA,NA,"","",NA,NA,NA,65
"157","all","all","male qx (likelihood of dying before next year) at age 66","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.013886,"",NA,NA,"","",NA,NA,NA,66
"158","all","all","male qx (likelihood of dying before next year) at age 67","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.015413,"",NA,NA,"","",NA,NA,NA,67
"159","all","all","male qx (likelihood of dying before next year) at age 68","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.016882,"",NA,NA,"","",NA,NA,NA,68
"160","all","all","male qx (likelihood of dying before next year) at age 69","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.018186,"",NA,NA,"","",NA,NA,NA,69
"161","all","all","male qx (likelihood of dying before next year) at age 70","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.019951,"",NA,NA,"","",NA,NA,NA,70
"162","all","all","male qx (likelihood of dying before next year) at age 71","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.021931,"",NA,NA,"","",NA,NA,NA,71
"163","all","all","male qx (likelihood of dying before next year) at age 72","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.024026,"",NA,NA,"","",NA,NA,NA,72
"164","all","all","male qx (likelihood of dying before next year) at age 73","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.025858,"",NA,NA,"","",NA,NA,NA,73
"165","all","all","male qx (likelihood of dying before next year) at age 74","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.028047,"",NA,NA,"","",NA,NA,NA,74
"166","all","all","male qx (likelihood of dying before next year) at age 75","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.031242,"",NA,NA,"","",NA,NA,NA,75
"167","all","all","male qx (likelihood of dying before next year) at age 76","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.035063,"",NA,NA,"","",NA,NA,NA,76
"168","all","all","male qx (likelihood of dying before next year) at age 77","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.038891,"",NA,NA,"","",NA,NA,NA,77
"169","all","all","male qx (likelihood of dying before next year) at age 78","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.043968,"",NA,NA,"","",NA,NA,NA,78
"170","all","all","male qx (likelihood of dying before next year) at age 79","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.048651,"",NA,NA,"","",NA,NA,NA,79
"171","all","all","male qx (likelihood of dying before next year) at age 80","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.055679,"",NA,NA,"","",NA,NA,NA,80
"172","all","all","male qx (likelihood of dying before next year) at age 81","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.062008,"",NA,NA,"","",NA,NA,NA,81
"173","all","all","male qx (likelihood of dying before next year) at age 82","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.070065,"",NA,NA,"","",NA,NA,NA,82
"174","all","all","male qx (likelihood of dying before next year) at age 83","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.076758,"",NA,NA,"","",NA,NA,NA,83
"175","all","all","male qx (likelihood of dying before next year) at age 84","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.086004,"",NA,NA,"","",NA,NA,NA,84
"176","all","all","male qx (likelihood of dying before next year) at age 85","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.096018,"",NA,NA,"","",NA,NA,NA,85
"177","all","all","male qx (likelihood of dying before next year) at age 86","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.107573,"",NA,NA,"","",NA,NA,NA,86
"178","all","all","male qx (likelihood of dying before next year) at age 87","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.120841,"",NA,NA,"","",NA,NA,NA,87
"179","all","all","male qx (likelihood of dying before next year) at age 88","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.136178,"",NA,NA,"","",NA,NA,NA,88
"180","all","all","male qx (likelihood of dying before next year) at age 89","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.151392,"",NA,NA,"","",NA,NA,NA,89
"181","all","all","male qx (likelihood of dying before next year) at age 90","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.170648,"",NA,NA,"","",NA,NA,NA,90
"182","all","all","male qx (likelihood of dying before next year) at age 91","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.187061,"",NA,NA,"","",NA,NA,NA,91
"183","all","all","male qx (likelihood of dying before next year) at age 92","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.209933,"",NA,NA,"","",NA,NA,NA,92
"184","all","all","male qx (likelihood of dying before next year) at age 93","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.229476,"",NA,NA,"","",NA,NA,NA,93
"185","all","all","male qx (likelihood of dying before next year) at age 94","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.252988,"",NA,NA,"","",NA,NA,NA,94
"186","all","all","male qx (likelihood of dying before next year) at age 95","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.276409,"",NA,NA,"","",NA,NA,NA,95
"187","all","all","male qx (likelihood of dying before next year) at age 96","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.297662,"",NA,NA,"","",NA,NA,NA,96
"188","all","all","male qx (likelihood of dying before next year) at age 97","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.32832,"",NA,NA,"","",NA,NA,NA,97
"189","all","all","male qx (likelihood of dying before next year) at age 98","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.339591,"",NA,NA,"","",NA,NA,NA,98
"190","all","all","male qx (likelihood of dying before next year) at age 99","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.378378,"",NA,NA,"","",NA,NA,NA,99
"191","all","all","male qx (likelihood of dying before next year) at age 100","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.401956,"",NA,NA,"","",NA,NA,NA,100
