"","Presentation.Setting","Intervention","Description","Reference.s.","Calculations","model_param","base_case","PSA_distribution","PSA_low","PSA_high","references.calculations.for.distributional.information","DSA_flag","DSA_low","DSA_high","mrs","age"
"70","all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.147,"",NA,NA,"","",NA,NA,6,NA
"71","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.063,"",NA,NA,"","",NA,NA,0,NA
"72","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.098,"",NA,NA,"","",NA,NA,1,NA
"73","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.142,"",NA,NA,"","",NA,NA,2,NA
"74","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.162,"",NA,NA,"","",NA,NA,3,NA
"75","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.251,"",NA,NA,"","",NA,NA,4,NA
"76","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.109,"",NA,NA,"","",NA,NA,5,NA
"77","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.175,"",NA,NA,"","",NA,NA,6,NA
"78","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0.817,"truncated normal",0.507,0.993,"","",NA,NA,0,NA
"79","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0.752,"truncated normal",0.41,0.985,"","",NA,NA,1,NA
"80","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0.656,"truncated normal",0.28,0.964,"","",NA,NA,2,NA
"81","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0.552,"truncated normal",0.165,0.909,"","",NA,NA,3,NA
"82","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0.262,"truncated normal",-0.132,0.658,"","",NA,NA,4,NA
"83","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",-0.054,"truncated normal",-0.094,-0.015,"","",NA,NA,5,NA
"84","all","all","utility value for corresponding mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"utility.mrs",0,NA,NA,NA,"","",NA,NA,6,NA
"85","all","all","annual cost for respective mRS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",3518,"gamma",5,18072,"","",NA,NA,0,NA
"86","all","all","annual cost for respective mRS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",4075,"gamma",27,17911,"","",NA,NA,1,NA
"87","all","all","annual cost for respective mRS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",4712,"gamma",93,17920,"","",NA,NA,2,NA
"88","all","all","annual cost for respective mRS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",16826,"gamma",3040,41644,"","",NA,NA,3,NA
"89","all","all","annual cost for respective mRS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",22692,"gamma",7320,47411,"","",NA,NA,4,NA
"90","all","all","annual cost for respective mRS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",36926,"gamma",8713,83873,"","",NA,NA,5,NA
"91","all","all","annual cost for respective mRS","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"cost.mrs",0,NA,NA,NA,"","",NA,NA,6,NA
"92","all","all","male qx (likelihood of dying before next year) at age 0","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.004521,"",NA,NA,"","",NA,NA,NA,0
"93","all","all","male qx (likelihood of dying before next year) at age 1","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000244,"",NA,NA,"","",NA,NA,NA,1
"94","all","all","male qx (likelihood of dying before next year) at age 2","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000165,"",NA,NA,"","",NA,NA,NA,2
"95","all","all","male qx (likelihood of dying before next year) at age 3","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000109,"",NA,NA,"","",NA,NA,NA,3
"96","all","all","male qx (likelihood of dying before next year) at age 4","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",8.3e-05,"",NA,NA,"","",NA,NA,NA,4
"97","all","all","male qx (likelihood of dying before next year) at age 5","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",8.6e-05,"",NA,NA,"","",NA,NA,NA,5
"98","all","all","male qx (likelihood of dying before next year) at age 6","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",7e-05,"",NA,NA,"","",NA,NA,NA,6
"99","all","all","male qx (likelihood of dying before next year) at age 7","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",7.2e-05,"",NA,NA,"","",NA,NA,NA,7
"100","all","all","male qx (likelihood of dying before next year) at age 8","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",7.6e-05,"",NA,NA,"","",NA,NA,NA,8
"101","all","all","male qx (likelihood of dying before next year) at age 9","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",7.1e-05,"",NA,NA,"","",NA,NA,NA,9
"102","all","all","male qx (likelihood of dying before next year) at age 10","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",5.9e-05,"",NA,NA,"","",NA,NA,NA,10
"103","all","all","male qx (likelihood of dying before next year) at age 11","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",9.5e-05,"",NA,NA,"","",NA,NA,NA,11
"104","all","all","male qx (likelihood of dying before next year) at age 12","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000102,"",NA,NA,"","",NA,NA,NA,12
"105","all","all","male qx (likelihood of dying before next year) at age 13","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000118,"",NA,NA,"","",NA,NA,NA,13
"106","all","all","male qx (likelihood of dying before next year) at age 14","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000132,"",NA,NA,"","",NA,NA,NA,14
"107","all","all","male qx (likelihood of dying before next year) at age 15","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000178,"",NA,NA,"","",NA,NA,NA,15
"108","all","all","male qx (likelihood of dying before next year) at age 16","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00024,"",NA,NA,"","",NA,NA,NA,16
"109","all","all","male qx (likelihood of dying before next year) at age 17","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00031,"",NA,NA,"","",NA,NA,NA,17
"110","all","all","male qx (likelihood of dying before next year) at age 18","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000434,"",NA,NA,"","",NA,NA,NA,18
"111","all","all","male qx (likelihood of dying before next year) at age 19","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000507,"",NA,NA,"","",NA,NA,NA,19
"112","all","all","male qx (likelihood of dying before next year) at age 20","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000479,"",NA,NA,"","",NA,NA,NA,20
"113","all","all","male qx (likelihood of dying before next year) at age 21","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000514,"",NA,NA,"","",NA,NA,NA,21
"114","all","all","male qx (likelihood of dying before next year) at age 22","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00052,"",NA,NA,"","",NA,NA,NA,22
"115","all","all","male qx (likelihood of dying before next year) at age 23","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000582,"",NA,NA,"","",NA,NA,NA,23
"116","all","all","male qx (likelihood of dying before next year) at age 24","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000546,"",NA,NA,"","",NA,NA,NA,24
"117","all","all","male qx (likelihood of dying before next year) at age 25","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000544,"",NA,NA,"","",NA,NA,NA,25
"118","all","all","male qx (likelihood of dying before next year) at age 26","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000664,"",NA,NA,"","",NA,NA,NA,26
"119","all","all","male qx (likelihood of dying before next year) at age 27","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000643,"",NA,NA,"","",NA,NA,NA,27
"120","all","all","male qx (likelihood of dying before next year) at age 28","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000699,"",NA,NA,"","",NA,NA,NA,28
"121","all","all","male qx (likelihood of dying before next year) at age 29","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000782,"",NA,NA,"","",NA,NA,NA,29
"122","all","all","male qx (likelihood of dying before next year) at age 30","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000795,"",NA,NA,"","",NA,NA,NA,30
"123","all","all","male qx (likelihood of dying before next year) at age 31","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000886,"",NA,NA,"","",NA,NA,NA,31
"124","all","all","male qx (likelihood of dying before next year) at age 32","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000928,"",NA,NA,"","",NA,NA,NA,32
"125","all","all","male qx (likelihood of dying before next year) at age 33","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.000992,"",NA,NA,"","",NA,NA,NA,33
"126","all","all","male qx (likelihood of dying before next year) at age 34","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00103,"",NA,NA,"","",NA,NA,NA,34
"127","all","all","male qx (likelihood of dying before next year) at age 35","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001129,"",NA,NA,"","",NA,NA,NA,35
"128","all","all","male qx (likelihood of dying before next year) at age 36","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00127,"",NA,NA,"","",NA,NA,NA,36
"129","all","all","male qx (likelihood of dying before next year) at age 37","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001342,"",NA,NA,"","",NA,NA,NA,37
"130","all","all","male qx (likelihood of dying before next year) at age 38","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001446,"",NA,NA,"","",NA,NA,NA,38
"131","all","all","male qx (likelihood of dying before next year) at age 39","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001616,"",NA,NA,"","",NA,NA,NA,39
"132","all","all","male qx (likelihood of dying before next year) at age 40","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001731,"",NA,NA,"","",NA,NA,NA,40
"133","all","all","male qx (likelihood of dying before next year) at age 41","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.001871,"",NA,NA,"","",NA,NA,NA,41
"134","all","all","male qx (likelihood of dying before next year) at age 42","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00197,"",NA,NA,"","",NA,NA,NA,42
"135","all","all","male qx (likelihood of dying before next year) at age 43","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.002115,"",NA,NA,"","",NA,NA,NA,43
"136","all","all","male qx (likelihood of dying before next year) at age 44","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.002275,"",NA,NA,"","",NA,NA,NA,44
"137","all","all","male qx (likelihood of dying before next year) at age 45","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.002503,"",NA,NA,"","",NA,NA,NA,45
"138","all","all","male qx (likelihood of dying before next year) at age 46","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00268,"",NA,NA,"","",NA,NA,NA,46
"139","all","all","male qx (likelihood of dying before next year) at age 47","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.002936,"",NA,NA,"","",NA,NA,NA,47
"140","all","all","male qx (likelihood of dying before next year) at age 48","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.003262,"",NA,NA,"","",NA,NA,NA,48
"141","all","all","male qx (likelihood of dying before next year) at age 49","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.003519,"",NA,NA,"","",NA,NA,NA,49
"142","all","all","male qx (likelihood of dying before next year) at age 50","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.003822,"",NA,NA,"","",NA,NA,NA,50
"143","all","all","male qx (likelihood of dying before next year) at age 51","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.004054,"",NA,NA,"","",NA,NA,NA,51
"144","all","all","male qx (likelihood of dying before next year) at age 52","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.004486,"",NA,NA,"","",NA,NA,NA,52
"145","all","all","male qx (likelihood of dying before next year) at age 53","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.004692,"",NA,NA,"","",NA,NA,NA,53
"146","all","all","male qx (likelihood of dying before next year) at age 54","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.005087,"",NA,NA,"","",NA,NA,NA,54
"147","all","all","male qx (likelihood of dying before next year) at age 55","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.005438,"",NA,NA,"","",NA,NA,NA,55
"148","all","all","male qx (likelihood of dying before next year) at age 56","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.005867,"",NA,NA,"","",NA,NA,NA,56
"149","all","all","male qx (likelihood of dying before next year) at age 57","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.006409,"",NA,NA,"","",NA,NA,NA,57
"150","all","all","male qx (likelihood of dying before next year) at age 58","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.00686,"",NA,NA,"","",NA,NA,NA,58
"151","all","all","male qx (likelihood of dying before next year) at age 59","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.007387,"",NA,NA,"","",NA,NA,NA,59
"152","all","all","male qx (likelihood of dying before next year) at age 60","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.008134,"",NA,NA,"","",NA,NA,NA,60
"153","all","all","male qx (likelihood of dying before next year) at age 61","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.009036,"",NA,NA,"","",NA,NA,NA,61
"154","all","all","male qx (likelihood of dying before next year) at age 62","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.009714,"",NA,NA,"","",NA,NA,NA,62
"155","all","all","male qx (likelihood of dying before next year) at age 63","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.010535,"",NA,NA,"","",NA,NA,NA,63
"156","all","all","male qx (likelihood of dying before next year) at age 64","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.0116,"",NA,NA,"","",NA,NA,NA,64
"157","all","all","male qx (likelihood of dying before next year) at age 65","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.012545,"",NA,NA,"","",NA,NA,NA,65
"158","all","all","male qx (likelihood of dying before next year) at age 66","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.013886,"",NA,NA,"","",NA,NA,NA,66
"159","all","all","male qx (likelihood of dying before next year) at age 67","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.015413,"",NA,NA,"","",NA,NA,NA,67
"160","all","all","male qx (likelihood of dying before next year) at age 68","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.016882,"",NA,NA,"","",NA,NA,NA,68
"161","all","all","male qx (likelihood of dying before next year) at age 69","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.018186,"",NA,NA,"","",NA,NA,NA,69
"162","all","all","male qx (likelihood of dying before next year) at age 70","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.019951,"",NA,NA,"","",NA,NA,NA,70
"163","all","all","male qx (likelihood of dying before next year) at age 71","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.021931,"",NA,NA,"","",NA,NA,NA,71
"164","all","all","male qx (likelihood of dying before next year) at age 72","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.024026,"",NA,NA,"","",NA,NA,NA,72
"165","all","all","male qx (likelihood of dying before next year) at age 73","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.025858,"",NA,NA,"","",NA,NA,NA,73
"166","all","all","male qx (likelihood of dying before next year) at age 74","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.028047,"",NA,NA,"","",NA,NA,NA,74
"167","all","all","male qx (likelihood of dying before next year) at age 75","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.031242,"",NA,NA,"","",NA,NA,NA,75
"168","all","all","male qx (likelihood of dying before next year) at age 76","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.035063,"",NA,NA,"","",NA,NA,NA,76
"169","all","all","male qx (likelihood of dying before next year) at age 77","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.038891,"",NA,NA,"","",NA,NA,NA,77
"170","all","all","male qx (likelihood of dying before next year) at age 78","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.043968,"",NA,NA,"","",NA,NA,NA,78
"171","all","all","male qx (likelihood of dying before next year) at age 79","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.048651,"",NA,NA,"","",NA,NA,NA,79
"172","all","all","male qx (likelihood of dying before next year) at age 80","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.055679,"",NA,NA,"","",NA,NA,NA,80
"173","all","all","male qx (likelihood of dying before next year) at age 81","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.062008,"",NA,NA,"","",NA,NA,NA,81
"174","all","all","male qx (likelihood of dying before next year) at age 82","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.070065,"",NA,NA,"","",NA,NA,NA,82
"175","all","all","male qx (likelihood of dying before next year) at age 83","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.076758,"",NA,NA,"","",NA,NA,NA,83
"176","all","all","male qx (likelihood of dying before next year) at age 84","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.086004,"",NA,NA,"","",NA,NA,NA,84
"177","all","all","male qx (likelihood of dying before next year) at age 85","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.096018,"",NA,NA,"","",NA,NA,NA,85
"178","all","all","male qx (likelihood of dying before next year) at age 86","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.107573,"",NA,NA,"","",NA,NA,NA,86
"179","all","all","male qx (likelihood of dying before next year) at age 87","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.120841,"",NA,NA,"","",NA,NA,NA,87
"180","all","all","male qx (likelihood of dying before next year) at age 88","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.136178,"",NA,NA,"","",NA,NA,NA,88
"181","all","all","male qx (likelihood of dying before next year) at age 89","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.151392,"",NA,NA,"","",NA,NA,NA,89
"182","all","all","male qx (likelihood of dying before next year) at age 90","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.170648,"",NA,NA,"","",NA,NA,NA,90
"183","all","all","male qx (likelihood of dying before next year) at age 91","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.187061,"",NA,NA,"","",NA,NA,NA,91
"184","all","all","male qx (likelihood of dying before next year) at age 92","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.209933,"",NA,NA,"","",NA,NA,NA,92
"185","all","all","male qx (likelihood of dying before next year) at age 93","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"mqx",0.229476,"",NA,NA,"","",NA,NA,NA,93
